,fit_time,score_time,test_MAE,test_r2,model
0,0.002162933349609375,0.004794120788574219,-0.38902953586497896,0.07709317490218781,kNN
1,0.0019311904907226562,0.004697084426879883,-0.38874824191279883,0.09737255525520727,kNN
2,0.0017518997192382812,0.004452943801879883,-0.3977496483825599,0.04394936708860753,kNN
3,0.0016472339630126953,0.0044248104095458984,-0.39690140845070426,0.060561576354679625,kNN
4,0.0019021034240722656,0.0048809051513671875,-0.3977464788732394,0.04907994333130927,kNN
5,0.002039194107055664,0.0043849945068359375,-0.4061884669479606,0.09181896524209232,kNN
6,0.0017910003662109375,0.004519939422607422,-0.39296765119549937,0.06587949481135857,kNN
7,0.0017309188842773438,0.004185914993286133,-0.3808720112517581,0.0679385407449119,kNN
8,0.0016658306121826172,0.004405021667480469,-0.3938028169014085,0.026360573636131424,kNN
9,0.001712799072265625,0.0045871734619140625,-0.40929577464788736,-0.02051590066389597,kNN
10,0.0019237995147705078,0.004331111907958984,-0.4087201125175809,0.03386061307113897,kNN
11,0.0017979145050048828,0.004208087921142578,-0.40562587904360053,0.046642515577452026,kNN
12,0.00164031982421875,0.004358768463134766,-0.3991561181434599,-0.012676023930050517,kNN
13,0.0016376972198486328,0.004427194595336914,-0.3901408450704225,0.058279013292433235,kNN
14,0.00168609619140625,0.0049970149993896484,-0.39915492957746473,0.0477938048338028,kNN
15,0.0018498897552490234,0.004472017288208008,-0.40731364275668075,0.04419753086419742,kNN
16,0.002088308334350586,0.0046558380126953125,-0.39915611814345986,0.0361327264718837,kNN
17,0.0018458366394042969,0.004551887512207031,-0.3786216596343178,0.09860313919209618,kNN
18,0.0015988349914550781,0.004565238952636719,-0.4098591549295775,0.044230769230769074,kNN
19,0.0020198822021484375,0.0048601627349853516,-0.4005633802816902,-0.0012203389830511835,kNN
20,0.0019080638885498047,0.004336833953857422,-0.3949367088607595,0.0655213464037605,kNN
21,0.0017518997192382812,0.0043370723724365234,-0.41068917018284107,-0.028587470449172647,kNN
22,0.0016450881958007812,0.004146099090576172,-0.39465541490857947,0.06929871382636643,kNN
23,0.0016069412231445312,0.0042209625244140625,-0.40084507042253525,0.04482518099239163,kNN
24,0.0018949508666992188,0.004639863967895508,-0.41492957746478876,0.006117262224502595,kNN
25,0.0017299652099609375,0.0043468475341796875,-0.4112517580872011,0.00839357686648301,kNN
26,0.001934051513671875,0.004701137542724609,-0.41012658227848103,-0.013965730834204937,kNN
27,0.001605987548828125,0.004124879837036133,-0.38677918424753865,0.0941255010991856,kNN
28,0.001653909683227539,0.0042078495025634766,-0.4056338028169014,0.038011242488854124,kNN
29,0.0016789436340332031,0.00450587272644043,-0.37183098591549296,0.11501935483870962,kNN
30,0.0020580291748046875,0.0046389102935791016,-0.41518987341772157,-0.007048175182481797,kNN
31,0.001756906509399414,0.00464630126953125,-0.41350210970464135,0.031423872028896516,kNN
32,0.0019040107727050781,0.0043201446533203125,-0.3977496483825598,0.04460268683130875,kNN
33,0.0018198490142822266,0.0049970149993896484,-0.39915492957746473,0.02913686334822463,kNN
34,0.0019600391387939453,0.004724979400634766,-0.4,0.06000238805970104,kNN
35,0.0018389225006103516,0.004474163055419922,-0.3983122362869198,0.05169852122753982,kNN
36,0.0017921924591064453,0.004549980163574219,-0.380590717299578,0.07707170418006426,kNN
37,0.0015821456909179688,0.004346132278442383,-0.379746835443038,0.09312042795913744,kNN
38,0.0017180442810058594,0.004508256912231445,-0.3957746478873239,0.04903650783247049,kNN
39,0.001992940902709961,0.004662990570068359,-0.40338028169014084,0.059361305474178394,kNN
40,0.0017502307891845703,0.0042726993560791016,-0.38987341772151907,0.10180185182161117,kNN
41,0.002012968063354492,0.004357099533081055,-0.38874824191279894,0.02060321543408372,kNN
42,0.0016710758209228516,0.004204750061035156,-0.39690576652601967,0.08374648337595891,kNN
43,0.0016362667083740234,0.00479578971862793,-0.39971830985915485,0.006923577235772416,kNN
44,0.002184152603149414,0.004415035247802734,-0.384225352112676,0.10383340918708717,kNN
45,0.0018737316131591797,0.004286050796508789,-0.3943741209563994,0.06299767981438509,kNN
46,0.0017459392547607422,0.004113197326660156,-0.409563994374121,0.016983603360579802,kNN
47,0.001688241958618164,0.004208803176879883,-0.4084388185654008,0.02607081449404547,kNN
48,0.0017249584197998047,0.004761934280395508,-0.407887323943662,0.03396117992593539,kNN
49,0.0017507076263427734,0.004664182662963867,-0.41211267605633806,0.014511041009463654,kNN
