,fit_time,score_time,test_MAE,test_r2,model
0,0.39265894889831543,0.0018877983093261719,-0.37762070795597213,0.22467908814729565,Multilayer Perceptron
1,0.30019307136535645,0.0021300315856933594,-0.3743017869651236,0.21701162172199573,Multilayer Perceptron
2,0.35155606269836426,0.0018949508666992188,-0.3804350101956454,0.20096935283698025,Multilayer Perceptron
3,0.5068199634552002,0.0020780563354492188,-0.3683056690044106,0.23988352343428498,Multilayer Perceptron
4,0.471085786819458,0.0021228790283203125,-0.37898063906178997,0.22810044863244294,Multilayer Perceptron
5,0.3737320899963379,0.0016460418701171875,-0.37142228367229924,0.2784901759304347,Multilayer Perceptron
6,0.381331205368042,0.0016789436340332031,-0.3900855857248543,0.18351745998418112,Multilayer Perceptron
7,0.5953369140625,0.002371072769165039,-0.3733071444692965,0.2490040070654519,Multilayer Perceptron
8,0.6712439060211182,0.00167083740234375,-0.3891963828341363,0.18326435460900703,Multilayer Perceptron
9,0.5164380073547363,0.0033369064331054688,-0.382990548603473,0.17851400779776627,Multilayer Perceptron
10,0.4276390075683594,0.0019490718841552734,-0.37542023946288366,0.23981088989529353,Multilayer Perceptron
11,0.4880959987640381,0.0017151832580566406,-0.38164085264988423,0.20672970566256854,Multilayer Perceptron
12,0.4805331230163574,0.0016880035400390625,-0.3710795741166817,0.18742676873461728,Multilayer Perceptron
13,0.40464210510253906,0.0016629695892333984,-0.37011718882201644,0.23906452617616336,Multilayer Perceptron
14,0.42322516441345215,0.0016560554504394531,-0.38132132240067723,0.22954132552697115,Multilayer Perceptron
15,0.341048002243042,0.0016291141510009766,-0.3869255691316354,0.2321878073292768,Multilayer Perceptron
16,0.40371108055114746,0.001641988754272461,-0.3724798256325669,0.2248227236751702,Multilayer Perceptron
17,0.47911691665649414,0.0016710758209228516,-0.37882690105161754,0.2525359927412677,Multilayer Perceptron
18,0.33304595947265625,0.0016739368438720703,-0.3765653701249892,0.23798915500854068,Multilayer Perceptron
19,0.2273852825164795,0.0016949176788330078,-0.3934182229492841,0.15937855672720957,Multilayer Perceptron
20,0.3228340148925781,0.001664876937866211,-0.3724159633887023,0.24867832031529036,Multilayer Perceptron
21,0.5402531623840332,0.001653909683227539,-0.373463434424381,0.2056896972671609,Multilayer Perceptron
22,0.34805917739868164,0.0016620159149169922,-0.37138682733282513,0.23423414397246511,Multilayer Perceptron
23,0.34230566024780273,0.0016591548919677734,-0.36330049821173344,0.21360420018571058,Multilayer Perceptron
24,0.40538811683654785,0.0016608238220214844,-0.3946048767847231,0.16985872940045532,Multilayer Perceptron
25,0.42577195167541504,0.0017883777618408203,-0.37728252616185437,0.22237136924495216,Multilayer Perceptron
26,0.31104278564453125,0.0016541481018066406,-0.3902626751955049,0.18936684367211842,Multilayer Perceptron
27,0.36400890350341797,0.0016469955444335938,-0.37468987349438737,0.2309134591510852,Multilayer Perceptron
28,0.37018609046936035,0.0016608238220214844,-0.38267443995838096,0.2117313696874542,Multilayer Perceptron
29,0.43170809745788574,0.0016720294952392578,-0.3613616050352,0.2616101242764195,Multilayer Perceptron
30,0.39755702018737793,0.0016586780548095703,-0.3865368887734841,0.17168907482573115,Multilayer Perceptron
31,0.3409857749938965,0.0016629695892333984,-0.3830805954442777,0.21438336570580618,Multilayer Perceptron
32,0.3852541446685791,0.0016508102416992188,-0.38303846272918207,0.20514370255006842,Multilayer Perceptron
33,0.4188358783721924,0.0016701221466064453,-0.3734861481370133,0.2412054333317929,Multilayer Perceptron
34,0.5241646766662598,0.0017061233520507812,-0.38151479826037354,0.23187191546041663,Multilayer Perceptron
35,0.29117798805236816,0.0016629695892333984,-0.38508754094446507,0.2152098144701513,Multilayer Perceptron
36,0.35050010681152344,0.0016651153564453125,-0.37774235710553744,0.23225754010134259,Multilayer Perceptron
37,0.5454840660095215,0.0016949176788330078,-0.3790937452450394,0.22963190376882237,Multilayer Perceptron
38,0.5349600315093994,0.0016560554504394531,-0.38096581258113055,0.21030010918094078,Multilayer Perceptron
39,0.3556699752807617,0.0016510486602783203,-0.3794199118374387,0.19591868285398473,Multilayer Perceptron
40,0.5643541812896729,0.0016717910766601562,-0.37723593979177067,0.2362142961932081,Multilayer Perceptron
41,0.3141031265258789,0.00167083740234375,-0.3795025133213314,0.2070071723306035,Multilayer Perceptron
42,0.5401821136474609,0.0016591548919677734,-0.3885292450870852,0.21895701433081094,Multilayer Perceptron
43,0.3822197914123535,0.0016989707946777344,-0.3843150990465718,0.20637450715012606,Multilayer Perceptron
44,0.41655707359313965,0.001653909683227539,-0.37562840849564527,0.2046345210507453,Multilayer Perceptron
45,0.45213913917541504,0.0016508102416992188,-0.35676928918948114,0.23248244235845517,Multilayer Perceptron
46,0.567896842956543,0.0016639232635498047,-0.38612385666553334,0.17294531775178157,Multilayer Perceptron
47,0.5661330223083496,0.0016319751739501953,-0.3873749079270237,0.23343987464476024,Multilayer Perceptron
48,0.5457301139831543,0.0016617774963378906,-0.3830686860042639,0.19939196177822527,Multilayer Perceptron
49,0.6159119606018066,0.0016651153564453125,-0.37877509566954987,0.21337862607666314,Multilayer Perceptron
