,fit_time,score_time,test_MAE,test_r2,model
0,0.004308223724365234,0.0017168521881103516,-0.3913412220022335,0.21676901137843618,Linear Regression
1,0.0018610954284667969,0.001689910888671875,-0.39018058610825757,0.2095691335947989,Linear Regression
2,0.001928091049194336,0.0013718605041503906,-0.3947018642297984,0.180343422150815,Linear Regression
3,0.0017290115356445312,0.0017790794372558594,-0.386532187236489,0.21671906804343943,Linear Regression
4,0.0021109580993652344,0.0017578601837158203,-0.3872148635204851,0.20799284129057838,Linear Regression
5,0.0016701221466064453,0.001420736312866211,-0.3843427652005944,0.2532164230289897,Linear Regression
6,0.0019137859344482422,0.0015990734100341797,-0.3990984459864488,0.1833508844566849,Linear Regression
7,0.0016560554504394531,0.0012629032135009766,-0.3813227599483106,0.23820663946225096,Linear Regression
8,0.0017490386962890625,0.0017547607421875,-0.3920766060286008,0.1845972296873687,Linear Regression
9,0.002361774444580078,0.001669168472290039,-0.3935658795184358,0.16768503261822632,Linear Regression
10,0.0016102790832519531,0.0015859603881835938,-0.3909417236259165,0.22393541598091105,Linear Regression
11,0.0017960071563720703,0.0016560554504394531,-0.39091315245798763,0.19452655007589903,Linear Regression
12,0.0017371177673339844,0.0012781620025634766,-0.38681003537915215,0.18441553397220545,Linear Regression
13,0.0018150806427001953,0.0013380050659179688,-0.386086299134156,0.21965410138856722,Linear Regression
14,0.001638174057006836,0.0012710094451904297,-0.39407267407628466,0.21251771292590182,Linear Regression
15,0.0014848709106445312,0.0012581348419189453,-0.39254714922155215,0.20821364038488444,Linear Regression
16,0.0014600753784179688,0.001268148422241211,-0.38744917322228234,0.19994931797307536,Linear Regression
17,0.0014808177947998047,0.0012848377227783203,-0.38812058599602334,0.23169854715692983,Linear Regression
18,0.001641988754272461,0.0014400482177734375,-0.38481576012404484,0.23416848845226668,Linear Regression
19,0.001500844955444336,0.0012860298156738281,-0.3967560738155375,0.1564891496116052,Linear Regression
20,0.0018000602722167969,0.001422882080078125,-0.38354217481830283,0.22861492908487002,Linear Regression
21,0.0018460750579833984,0.0013158321380615234,-0.3834882605084209,0.203791843411115,Linear Regression
22,0.0016968250274658203,0.0012891292572021484,-0.3916463420846023,0.20749342786536662,Linear Regression
23,0.001529693603515625,0.0013501644134521484,-0.381349750967416,0.24713858707511582,Linear Regression
24,0.0014731884002685547,0.0012519359588623047,-0.4100750957003779,0.14294413307795417,Linear Regression
25,0.0014309883117675781,0.0012559890747070312,-0.39407701230465786,0.1950872371523672,Linear Regression
26,0.001447916030883789,0.0012547969818115234,-0.39956030961593875,0.176051859425146,Linear Regression
27,0.0016210079193115234,0.0016949176788330078,-0.38912344079622135,0.21635908110571145,Linear Regression
28,0.0018188953399658203,0.0017311573028564453,-0.3892535984688477,0.20176140266751708,Linear Regression
29,0.0017971992492675781,0.0015869140625,-0.3776142613260795,0.2451639155540477,Linear Regression
30,0.0022199153900146484,0.0013861656188964844,-0.39678439905215646,0.16599867254251055,Linear Regression
31,0.0017709732055664062,0.0015780925750732422,-0.38334537416959813,0.23665510207633067,Linear Regression
32,0.001984834671020508,0.0013990402221679688,-0.39391511902532367,0.18589222257382332,Linear Regression
33,0.0016338825225830078,0.0012600421905517578,-0.3894833873729519,0.21031527445552123,Linear Regression
34,0.0014858245849609375,0.0012700557708740234,-0.3870224412299217,0.22601705528716354,Linear Regression
35,0.0014619827270507812,0.0012612342834472656,-0.393367534086329,0.20387506620075735,Linear Regression
36,0.0014429092407226562,0.0012431144714355469,-0.38362517076768815,0.22275101538099595,Linear Regression
37,0.001455068588256836,0.0012691020965576172,-0.3859756927813837,0.22866763785758082,Linear Regression
38,0.002346038818359375,0.001300811767578125,-0.3914866579746321,0.19789502567656736,Linear Regression
39,0.0015909671783447266,0.0013251304626464844,-0.39627553134261284,0.17469445566473196,Linear Regression
40,0.002079010009765625,0.0013539791107177734,-0.3795684743816014,0.24585375598565717,Linear Regression
41,0.0015919208526611328,0.0013279914855957031,-0.39034595496859503,0.1986447957103985,Linear Regression
42,0.001628875732421875,0.0012431144714355469,-0.3910806618400299,0.20803296041709995,Linear Regression
43,0.001522064208984375,0.0012547969818115234,-0.39194477726774474,0.19728664925872308,Linear Regression
44,0.0015406608581542969,0.001405954360961914,-0.39631706975368036,0.18409761064267505,Linear Regression
45,0.0014357566833496094,0.0012402534484863281,-0.3817329486160625,0.20783585016631334,Linear Regression
46,0.0015549659729003906,0.0012443065643310547,-0.3940350564487669,0.16962136381265558,Linear Regression
47,0.0015368461608886719,0.0012810230255126953,-0.3924321158607714,0.22755502136107741,Linear Regression
48,0.0017108917236328125,0.0012509822845458984,-0.39662614349530956,0.20126954663258456,Linear Regression
49,0.00145721435546875,0.0012485980987548828,-0.38745002217722024,0.21011878207705403,Linear Regression
