,fit_time,score_time,test_MAE,test_r2,model
0,0.00836801528930664,0.0015411376953125,-0.40684929316311796,0.17728014382664792,ADABoost
1,0.006044864654541016,0.0012660026550292969,-0.4087571618608275,0.16386794284823192,ADABoost
2,0.0040130615234375,0.0012969970703125,-0.3982922866788869,0.17401837649003127,ADABoost
3,0.0072138309478759766,0.0013391971588134766,-0.39974343060285306,0.18783029253448724,ADABoost
4,0.006900787353515625,0.0017130374908447266,-0.4029809182297714,0.1731732684234517,ADABoost
5,0.006229877471923828,0.0013561248779296875,-0.4082255249776289,0.1936137986975076,ADABoost
6,0.0070819854736328125,0.0013680458068847656,-0.4154388321205183,0.14550500306613579,ADABoost
7,0.00566411018371582,0.0012331008911132812,-0.3988360248828984,0.16753403763388275,ADABoost
8,0.0057201385498046875,0.0013129711151123047,-0.40445819595374816,0.14516678103088143,ADABoost
9,0.00564885139465332,0.0012311935424804688,-0.40825803998633364,0.15573193729006118,ADABoost
10,0.008564949035644531,0.0013580322265625,-0.3943742130784441,0.2221572741834118,ADABoost
11,0.0040929317474365234,0.0012097358703613281,-0.4031517416629259,0.16415424534987177,ADABoost
12,0.005706310272216797,0.0012278556823730469,-0.3971242530618743,0.1650456532529092,ADABoost
13,0.007311105728149414,0.0015506744384765625,-0.40117338336466846,0.16993911941029616,ADABoost
14,0.004296064376831055,0.0011899471282958984,-0.4048554240757826,0.17973191459395355,ADABoost
15,0.005478858947753906,0.0012280941009521484,-0.4044192076333832,0.16411419166508856,ADABoost
16,0.007401227951049805,0.0016808509826660156,-0.39574013877227815,0.1814650071084395,ADABoost
17,0.005219221115112305,0.001667022705078125,-0.40389111879117917,0.19142496860685665,ADABoost
18,0.009334087371826172,0.001847982406616211,-0.40116807250354225,0.1934574322357946,ADABoost
19,0.0062520503997802734,0.0016109943389892578,-0.41034132944732654,0.12758119346325236,ADABoost
20,0.014209985733032227,0.0017600059509277344,-0.39844199004173647,0.21088552249146264,ADABoost
21,0.007035970687866211,0.0012998580932617188,-0.39311376679078835,0.17972405719989337,ADABoost
22,0.0040760040283203125,0.0011980533599853516,-0.4027256315067281,0.1842392432733665,ADABoost
23,0.010508060455322266,0.0016491413116455078,-0.39709255348686007,0.19996549152710807,ADABoost
24,0.008000850677490234,0.0016379356384277344,-0.41685595507754414,0.11626101230995312,ADABoost
25,0.004441022872924805,0.0011799335479736328,-0.41442048335016196,0.14018944349782791,ADABoost
26,0.0058269500732421875,0.0014870166778564453,-0.41953408280147425,0.12726730000594122,ADABoost
27,0.00445103645324707,0.001142740249633789,-0.40631435869282306,0.15755563279343066,ADABoost
28,0.007319927215576172,0.0013470649719238281,-0.4034979912353726,0.16111494216740452,ADABoost
29,0.007531166076660156,0.0013208389282226562,-0.40053983583033664,0.18967090142960685,ADABoost
30,0.004023075103759766,0.001138925552368164,-0.40940481885781077,0.12474580555534687,ADABoost
31,0.0072438716888427734,0.001291036605834961,-0.39667878436596743,0.2113012385734392,ADABoost
32,0.005530118942260742,0.0012428760528564453,-0.4064833424706975,0.1428012197723577,ADABoost
33,0.0055980682373046875,0.0012331008911132812,-0.4014933319223992,0.1648058514054942,ADABoost
34,0.007167816162109375,0.001291036605834961,-0.40250953477870527,0.20148098128277092,ADABoost
35,0.007473945617675781,0.0012969970703125,-0.4056116518675277,0.17810023943225184,ADABoost
36,0.0060040950775146484,0.0012359619140625,-0.4022707372350715,0.15405603751798924,ADABoost
37,0.005751132965087891,0.0012979507446289062,-0.3998544148102798,0.174342540230648,ADABoost
38,0.004013776779174805,0.0011391639709472656,-0.40304593526395666,0.15780213286886557,ADABoost
39,0.008762121200561523,0.0013592243194580078,-0.4099520326157631,0.17081082932487313,ADABoost
40,0.0075380802154541016,0.0013098716735839844,-0.3993805963544151,0.2075509341499372,ADABoost
41,0.007241964340209961,0.0012936592102050781,-0.40965135837498273,0.15522338585904427,ADABoost
42,0.00904703140258789,0.001628875732421875,-0.40687480394116116,0.17092397246034818,ADABoost
43,0.0071277618408203125,0.0013780593872070312,-0.4097715645993116,0.1307106702893739,ADABoost
44,0.00871586799621582,0.0013859272003173828,-0.41335375071789704,0.15576359176156773,ADABoost
45,0.008910894393920898,0.0015788078308105469,-0.39583529584480454,0.19469413415622105,ADABoost
46,0.008778095245361328,0.001355886459350586,-0.41203738171788057,0.15316348824898807,ADABoost
47,0.005660295486450195,0.0012319087982177734,-0.40427969017528975,0.18850643072025586,ADABoost
48,0.007081031799316406,0.001317739486694336,-0.4061503178150599,0.18105314369267778,ADABoost
49,0.007287025451660156,0.0013000965118408203,-0.40882630303718787,0.16049664454648782,ADABoost
